provinsi,tahun,sektor,periode_upah,rata_rata_upah,periode_kemiskinan,gkm_makanan
BENGKULU,2025,F Konstruksi,FEBRUARI,2799761.0,MARET,503475.0
BENGKULU,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,2081938.0,MARET,503475.0
BENGKULU,2025,H Transportasi dan Pergudangan,FEBRUARI,2362931.0,MARET,503475.0
BENGKULU,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,1817694.0,MARET,503475.0
BENGKULU,2025,J Informasi dan Komunikasi,FEBRUARI,2852645.0,MARET,503475.0
BENGKULU,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,4527321.0,MARET,503475.0
BENGKULU,2025,"M,N Jasa Perusahaan",FEBRUARI,2713722.0,MARET,503475.0
BENGKULU,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,3460404.0,MARET,503475.0
BENGKULU,2025,P Jasa Pendidikan,FEBRUARI,2159107.0,MARET,503475.0
BENGKULU,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,2580408.0,MARET,503475.0
BENGKULU,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,1485903.0,MARET,503475.0
BENGKULU,2025,Total,FEBRUARI,2566215.0,MARET,503475.0
LAMPUNG,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,1876072.0,MARET,457878.0
LAMPUNG,2025,B Pertambangan dan Penggalian,FEBRUARI,3062850.0,MARET,457878.0
LAMPUNG,2025,C Industri Pengolahan,FEBRUARI,2337863.0,MARET,457878.0
LAMPUNG,2025,D Pengadaan Listrik dan Gas,FEBRUARI,3556171.0,MARET,457878.0
LAMPUNG,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,2564459.0,MARET,457878.0
LAMPUNG,2025,F Konstruksi,FEBRUARI,2480542.0,MARET,457878.0
LAMPUNG,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,2038883.0,MARET,457878.0
LAMPUNG,2025,H Transportasi dan Pergudangan,FEBRUARI,2422700.0,MARET,457878.0
LAMPUNG,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,1742375.0,MARET,457878.0
LAMPUNG,2025,J Informasi dan Komunikasi,FEBRUARI,2209425.0,MARET,457878.0
LAMPUNG,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,3843756.0,MARET,457878.0
LAMPUNG,2025,"M,N Jasa Perusahaan",FEBRUARI,2797649.0,MARET,457878.0
LAMPUNG,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,3262600.0,MARET,457878.0
LAMPUNG,2025,P Jasa Pendidikan,FEBRUARI,2276268.0,MARET,457878.0
LAMPUNG,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,2550776.0,MARET,457878.0
LAMPUNG,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,1379327.0,MARET,457878.0
LAMPUNG,2025,Total,FEBRUARI,2320932.0,MARET,457878.0
KEP. BANGKA BELITUNG,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,3026590.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,B Pertambangan dan Penggalian,FEBRUARI,3548486.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,C Industri Pengolahan,FEBRUARI,2680885.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,D Pengadaan Listrik dan Gas,FEBRUARI,4969135.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,2185000.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,F Konstruksi,FEBRUARI,3109408.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,2759839.0,MARET,706833.0
KEP. BANGKA BELITUNG,2025,H Transportasi dan Pergudangan,FEBRUARI,3376651.0,MARET,706833.0
