provinsi,tahun,sektor,periode_upah,rata_rata_upah,periode_kemiskinan,gkm_makanan,rasio_daya_beli,gap_kesejahteraan,status_kerentanan
KALIMANTAN TENGAH,2025,J Informasi dan Komunikasi,AGUSTUS,3439777.0,SEPTEMBER,526003.0,6.54,2913774.0,AMAN
KALIMANTAN TENGAH,2025,K Jasa Keuangan dan Asuransi,AGUSTUS,4191035.0,SEPTEMBER,526003.0,7.97,3665032.0,AMAN
KALIMANTAN TENGAH,2025,L Real Estate,AGUSTUS,3815629.0,SEPTEMBER,526003.0,7.25,3289626.0,AMAN
KALIMANTAN TENGAH,2025,"M,N Jasa Perusahaan",AGUSTUS,3255630.0,SEPTEMBER,526003.0,6.19,2729627.0,AMAN
KALIMANTAN TENGAH,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",AGUSTUS,3968065.0,SEPTEMBER,526003.0,7.54,3442062.0,AMAN
KALIMANTAN TENGAH,2025,P Jasa Pendidikan,AGUSTUS,3343922.0,SEPTEMBER,526003.0,6.36,2817919.0,AMAN
KALIMANTAN TENGAH,2025,Q Jasa Kesehatan dan Kegiatan Sosial,AGUSTUS,3508598.0,SEPTEMBER,526003.0,6.67,2982595.0,AMAN
KALIMANTAN TENGAH,2025,"R,S,T,U Jasa Lainnya",AGUSTUS,1934308.0,SEPTEMBER,526003.0,3.68,1408305.0,RENTAN
KALIMANTAN TENGAH,2025,Total,AGUSTUS,3451676.0,SEPTEMBER,526003.0,6.56,2925673.0,AMAN
KALIMANTAN SELATAN,2025,"A Pertanian, Kehutanan dan Perikanan",AGUSTUS,2937079.0,SEPTEMBER,491795.0,5.97,2445284.0,AMAN
KALIMANTAN SELATAN,2025,B Pertambangan dan Penggalian,AGUSTUS,4975706.0,SEPTEMBER,491795.0,10.12,4483911.0,AMAN
KALIMANTAN SELATAN,2025,C Industri Pengolahan,AGUSTUS,2691398.0,SEPTEMBER,491795.0,5.47,2199603.0,AMAN
KALIMANTAN SELATAN,2025,D Pengadaan Listrik dan Gas,AGUSTUS,4572661.0,SEPTEMBER,491795.0,9.3,4080866.0,AMAN
