provinsi,tahun,upah,gk
SULAWESI SELATAN,2021,19217,378473.0
SULAWESI SELATAN,2022,17257,411353.5
SULAWESI TENGGARA,2015,13661,263534.5
SULAWESI TENGGARA,2016,23444,279724.5
SULAWESI TENGGARA,2017,16604,292933.5
SULAWESI TENGGARA,2018,15944,310173.5
SULAWESI TENGGARA,2019,15849,336934.0
SULAWESI TENGGARA,2020,20449,362486.5
SULAWESI TENGGARA,2021,19302,386666.5
SULAWESI TENGGARA,2022,17542,418300.5
GORONTALO,2015,10030,269307.0
GORONTALO,2016,13088,285600.5
GORONTALO,2017,12784,302218.0
GORONTALO,2018,11891,320712.5
GORONTALO,2019,13492,343089.5
GORONTALO,2020,15128,371916.5
GORONTALO,2021,14613,395166.0
GORONTALO,2022,14289,423434.0
SULAWESI BARAT,2015,14171,269680.5
SULAWESI BARAT,2016,11730,289679.0
SULAWESI BARAT,2017,12741,309384.5
SULAWESI BARAT,2018,12144,321581.5
SULAWESI BARAT,2019,13126,334043.0
SULAWESI BARAT,2020,18136,351808.5
SULAWESI BARAT,2021,18072,374168.0
SULAWESI BARAT,2022,14774,416082.0
MALUKU,2015,14525,402455.5
MALUKU,2016,16153,419479.0
MALUKU,2017,16275,444039.0
MALUKU,2018,14923,465314.0
MALUKU,2019,17306,527078.0
MALUKU,2020,26198,564441.0
MALUKU,2021,21156,596819.5
MALUKU,2022,17006,651891.0
MALUKU UTARA,2015,13607,353229.0
MALUKU UTARA,2016,15226,381522.0
MALUKU UTARA,2017,15760,394168.5
MALUKU UTARA,2018,15864,418773.5
MALUKU UTARA,2019,17425,447049.0
MALUKU UTARA,2020,23338,466117.5
MALUKU UTARA,2021,21131,497404.0
MALUKU UTARA,2022,18278,529329.5
PAPUA BARAT,2015,17313,453458.5
PAPUA BARAT,2016,18314,483967.5
PAPUA BARAT,2017,19911,504819.5
PAPUA BARAT,2018,21727,538668.5
PAPUA BARAT,2019,22987,582324.5
PAPUA BARAT,2020,27904,613637.5
PAPUA BARAT,2021,29600,641969.5
PAPUA BARAT,2022,24128,686880.5
PAPUA,2015,19290,404208.0
PAPUA,2016,22961,433598.0
PAPUA,2017,25657,460799.0
PAPUA,2018,25987,509137.0
PAPUA,2019,24984,548667.5
PAPUA,2020,32138,571727.5
PAPUA,2021,30382,596377.0
PAPUA,2022,24097,649291.5
INDONESIA,2015,11434,337792.5
INDONESIA,2016,14068,358188.5
INDONESIA,2017,14731,380818.5
INDONESIA,2018,15275,405944.5
INDONESIA,2019,15823,432894.0
INDONESIA,2020,17696,456799.0
INDONESIA,2021,18089,479346.5
INDONESIA,2022,17542,520507.5
